Area,Boro,Area Type,Date,Median Price
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2012-05,1675
All Upper Manhattan,Manhattan,submarket,2013-02,1695
All Upper Manhattan,Manhattan,submarket,2013-03,1680
All Upper Manhattan,Manhattan,submarket,2012-01,1625
All Upper Manhattan,Manhattan,submarket,2012-05,1675
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2013-02,1695
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2012-05,1675
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2014-03,1609
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2014-06,1747
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2014-11,1725
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2014-11,1725
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2015-04,1800
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-10,1815
All Upper Manhattan,Manhattan,submarket,2015-04,1800
All Upper Manhattan,Manhattan,submarket,2015-04,1800
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2016-04,1875.5
All Upper Manhattan,Manhattan,submarket,2016-05,1900
All Upper Manhattan,Manhattan,submarket,2016-06,1899
All Upper Manhattan,Manhattan,submarket,2016-05,1900
All Upper Manhattan,Manhattan,submarket,2016-05,1900
All Upper Manhattan,Manhattan,submarket,2016-09,1879.5
All Upper Manhattan,Manhattan,submarket,2016-10,1875
All Upper Manhattan,Manhattan,submarket,2015-05,1850
All Upper Manhattan,Manhattan,submarket,2016-12,1895
All Upper Manhattan,Manhattan,submarket,2016-05,1900
All Upper Manhattan,Manhattan,submarket,2016-05,1900
All Upper Manhattan,Manhattan,submarket,2016-12,1895
All Upper Manhattan,Manhattan,submarket,2017-04,1899.5
All Upper Manhattan,Manhattan,submarket,2016-12,1895
All Upper Manhattan,Manhattan,submarket,2017-06,1925
All Upper West Side,Manhattan,submarket,2010-02,2550
All Upper West Side,Manhattan,submarket,2010-03,2500
All Upper West Side,Manhattan,submarket,2010-03,2500
All Upper West Side,Manhattan,submarket,2010-03,2500
All Upper West Side,Manhattan,submarket,2010-01,2600
All Upper West Side,Manhattan,submarket,2010-01,2600
All Upper West Side,Manhattan,submarket,2010-08,2650
All Upper West Side,Manhattan,submarket,2010-09,2750
All Upper West Side,Manhattan,submarket,2010-10,2795
All Upper West Side,Manhattan,submarket,2010-11,2800
